week,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
0.0,0,0,0,0,0,0,0,0
1.0,29267,23273,27261,28210,0,0,0,0
2.0,8482,9631,12383,2438,0,0,0,0
3.0,15389,16680,12740,15400,24573,4458,0,0
4.0,48997,37031,40671,31125,15225,4406,0,0
5.0,63368,77157,63315,42623,30063,6530,0,0
6.0,77113,63291,65447,67155,38478,3608,0,0
7.0,62097,60463,52213,57458,37240,9580,4815,0
8.0,62066,53745,51414,35911,29193,10715,78,0
9.0,67302,55308,52178,41980,28826,5927,2812,0
10.0,100754,84560,68522,59086,39366,15585,2311,0
11.0,119254,104532,84778,73199,45199,18603,9560,0
12.0,138312,115178,103171,62531,45617,14187,2857,0
13.0,107996,96354,72531,55758,45205,14944,4089,0
14.0,111028,92065,99534,79966,47209,17125,3206,0
15.0,185414,117406,97349,82955,58908,23428,6249,0
16.0,101667,69913,51569,38721,37192,10467,4402,0
17.0,49932,29587,19294,16415,13026,6027,1528,0
18.0,60073,30418,27781,10213,7076,2639,1955,0
19.0,102332,31662,23817,13513,6310,3510,1842,0
20.0,289175,31242,16991,8333,10087,3110,1285,0
21.0,434759,68994,31136,16640,8036,2439,2091,0
22.0,316025,262526,105803,54101,29500,14369,4335,0
23.0,216359,484493,146500,58007,40079,18225,4603,0
24.0,98703,424120,381211,80598,41567,13922,3316,0
25.0,43757,177227,368844,103309,52429,23027,3677,0
26.0,40119,147750,379319,328690,115309,40871,4080,0
27.0,29479,91548,156545,407658,258211,98858,3939,0
28.0,28027,53013,109687,307185,348904,189015,4407,0
29.0,23676,43438,82167,176156,280609,168270,4054,0
30.0,15993,39167,58593,103342,149646,99995,3931,0
31.0,17071,25795,45272,62323,79256,55184,2212,0
32.0,11572,25974,33260,48519,61575,43623,3965,0
33.0,10678,18310,19317,27217,35603,33333,5616,0
34.0,11086,11989,26018,26650,26146,27947,15522,0
35.0,9253,18564,19686,30051,28918,24293,71373,0
36.0,6315,9002,13544,22781,25998,20427,155174,7421
37.0,5661,11818,15656,19943,23253,19507,153180,10751
38.0,5682,10828,14791,19400,19765,10606,90759,7074
39.0,5661,7976,13349,16546,15096,12043,36775,7077
40.0,6420,14625,14470,17509,18433,13042,29534,7114
41.0,4002,2230,10783,2983,9960,5271,17283,28559
42.0,4133,9883,10393,23641,11093,6583,20784,73232
43.0,4894,6966,11554,6454,11524,6579,22919,132060
44.0,4960,9570,10924,14049,12889,5271,18208,156606
45.0,5282,8219,10024,18188,13935,7020,14725,156249
46.0,3169,6503,9502,2821,8682,3242,15837,127647
47.0,3343,6651,10600,15192,9760,6078,9638,168075
48.0,5678,3184,13255,11137,10000,4413,10101,143163
49.0,3982,4895,8807,3972,8213,3236,6418,69574
50.0,4828,10534,10649,16284,11281,4497,9557,64747
51.0,4836,2522,10992,6138,12631,5215,12557,58489
52.0,5887,11744,11070,16524,13719,7088,13698,33298
53.0,6555,10967,12869,21586,19789,12831,16617,39113
54.0,6420,8046,14063,9548,20938,7148,14287,33901
55.0,5827,7311,13156,16141,3562,7390,10014,33128
56.0,6151,12613,9878,13804,15066,10217,10499,43401
