week,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
0.0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,0,0
4.0,0,0,0,0,0,0,0,0
5.0,0,0,0,0,0,0,0,0
6.0,0,0,0,0,0,0,0,0
7.0,0,0,0,0,0,0,0,0
8.0,0,0,0,0,0,0,0,0
9.0,0,0,0,0,0,0,0,0
10.0,0,0,0,0,0,0,0,0
11.0,0,0,0,0,0,0,0,0
12.0,0,0,0,0,0,0,0,0
13.0,0,0,0,0,0,0,0,0
14.0,0,0,0,0,0,0,0,0
15.0,0,0,0,0,0,0,0,0
16.0,0,0,0,0,0,0,0,0
17.0,0,0,0,0,0,0,0,0
18.0,0,0,0,0,0,0,0,0
19.0,0,0,0,0,0,0,0,0
20.0,0,0,0,0,0,0,0,0
21.0,0,0,0,0,0,0,0,0
22.0,0,0,0,0,0,0,0,0
23.0,0,0,0,0,0,0,0,0
24.0,0,0,0,0,0,0,0,0
25.0,0,0,0,0,0,0,0,0
26.0,0,0,0,0,0,0,0,0
27.0,0,0,0,0,0,0,0,0
28.0,0,0,0,0,0,0,0,0
29.0,0,0,0,0,0,0,0,0
30.0,0,0,0,0,0,0,0,0
31.0,0,0,0,0,0,0,0,0
32.0,0,0,0,0,0,0,0,0
33.0,0,0,0,0,0,0,0,0
34.0,0,0,0,0,0,0,0,0
35.0,0,0,0,0,0,0,0,0
36.0,10325,15323,0,0,0,0,0,0
37.0,7579,9888,0,14047,10725,0,0,0
38.0,7267,9781,20633,4619,4826,4776,0,0
39.0,27524,18418,20845,12298,5435,1326,2994,0
40.0,38196,26088,26410,16683,1590,961,500,0
41.0,37510,29620,26171,23212,12424,1238,491,0
42.0,32271,24801,26092,19093,11268,451,466,0
43.0,37193,29321,22971,20761,10975,1953,486,0
44.0,53393,39104,31184,23923,14255,4157,281,0
45.0,63656,48956,35821,26570,16428,4897,1134,0
46.0,90672,51484,40182,28474,17045,4790,764,0
47.0,141235,70882,49294,32845,20543,7860,3211,0
48.0,260815,107203,76825,49989,30423,11674,2885,0
49.0,524681,488643,414952,282910,186738,89360,6903,0
50.0,377411,434842,409605,335803,253623,138906,7150,0
51.0,166181,207260,182633,166502,148071,88236,4916,0
52.0,143027,163086,160447,144487,114131,67551,7147,0
53.0,4575,1730,4213,5200,1773,1999,-275,0
54.0,0,0,0,0,0,0,0,0
55.0,0,0,0,0,0,0,0,0
56.0,0,0,0,0,0,0,0,0
