x,Over 80 D1,75-80,70-75,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
16.2856,94.6382,94.589,93.1743,30.7322,23.6912,20.1426,17.4854,14.8053,9.3765,2.9274,0.0764
16.3115,94.6436,94.5915,93.179,30.7934,23.7439,20.1637,17.5056,14.8305,9.3933,2.9349,0.0765
16.3374,94.6489,94.594,93.1836,30.8533,23.801,20.1842,17.5257,14.8553,9.4103,2.9426,0.0766
16.4807,94.6782,94.6079,93.209,31.1585,23.9033,20.2829,17.6359,14.9767,9.5055,2.9879,0.0771
16.6481,94.7117,94.624,93.2384,31.4572,24.04,20.3636,17.7563,15.0717,9.6127,3.0283,0.0778
16.674,94.7167,94.6265,93.243,31.4988,24.0619,20.3728,17.7737,15.0843,9.6282,3.0333,0.0779
16.907,94.7614,94.6484,93.2834,31.8436,24.2657,20.4427,17.9099,15.1928,9.7533,3.073,0.0788
16.9588,94.771,94.6531,93.2923,31.9156,24.3025,20.4636,17.9351,15.2162,9.7774,3.0809,0.079
17.2695,94.826,94.6802,93.345,32.3346,24.5317,20.6529,18.0468,15.3528,9.8921,3.1202,0.0802
17.2954,94.8303,94.6824,93.3493,32.3696,24.5512,20.6702,18.0531,15.3637,9.8991,3.1223,0.0803
17.5025,94.8635,94.6987,93.3837,32.6539,24.7097,20.7974,18.0892,15.4341,9.9412,3.1216,0.081
17.5284,94.8674,94.7006,93.388,32.6889,24.7306,20.811,18.0926,15.439,9.9451,3.1204,0.0811
17.5802,94.8751,94.7044,93.3964,32.758,24.7587,20.8357,18.0988,15.4469,9.9523,3.1197,0.0813
17.6579,94.8862,94.7099,93.4091,32.8589,24.8025,20.8668,18.1076,15.4571,9.9619,3.123,0.0816
17.6838,94.8898,94.7117,93.4133,32.8918,24.8173,20.8758,18.1105,15.4604,9.9649,3.125,0.0817
17.865,94.9133,94.7237,93.4422,33.1172,24.922,20.9257,18.1338,15.4838,9.986,3.145,0.0824
17.9427,94.9224,94.7285,93.4545,33.2127,24.9672,20.944,18.147,15.4942,9.9963,3.1556,0.0827
18.1757,94.9458,94.7417,93.4904,33.5019,25.1028,21.0224,18.2031,15.5283,10.0308,3.1924,0.0836
18.2793,94.9541,94.7471,93.5059,33.6349,25.1692,21.0973,18.2339,15.5461,10.0466,3.2117,0.084
18.3052,94.956,94.7484,93.5097,33.6692,25.1856,21.1219,18.2419,15.5511,10.0506,3.217,0.0841
18.4951,94.967,94.7574,93.5373,33.9531,25.3052,21.3224,18.3032,15.6012,10.0777,3.2663,0.0848
18.5032,94.9673,94.7578,93.5384,33.9672,25.3103,21.3275,18.3058,15.6037,10.0788,3.2688,0.0848
18.5123,94.9677,94.7582,93.5397,33.9832,25.316,21.3324,18.3088,15.6065,10.08,3.2715,0.0848
18.59,94.9705,94.7616,93.5506,34.1287,25.3644,21.3504,18.3338,15.6279,10.0896,3.2927,0.0851
18.6676,94.9724,94.7649,93.5612,34.2848,25.4124,21.3555,18.358,15.6445,10.0988,3.3104,0.0854
18.7712,94.9733,94.7691,93.5749,34.5006,25.4749,21.3825,18.3894,15.6621,10.1112,3.3304,0.0858
18.7971,94.9733,94.7701,93.5783,34.5555,25.4949,21.3945,18.3971,15.6661,10.1144,3.335,0.0859
19.1337,94.9622,94.7829,93.6179,35.3055,25.746,21.6321,18.4966,15.7128,10.1739,3.3859,0.0871
19.2114,94.9568,94.7858,93.6255,35.4914,25.8037,21.6872,18.5204,15.7234,10.1947,3.395,0.0874
19.3149,94.9482,94.7896,93.6345,35.7541,25.881,21.7523,18.5531,15.7385,10.2261,3.4044,0.0878
19.3408,94.9459,94.7906,93.6365,35.824,25.9004,21.7665,18.5613,15.7426,10.2344,3.4058,0.0879
19.3667,94.9434,94.7916,93.6383,35.8964,25.92,21.7798,18.5695,15.747,10.2428,3.4067,0.088
19.3926,94.9408,94.7925,93.6399,35.9716,25.9398,21.7921,18.5777,15.7518,10.2512,3.4069,0.0881
19.6256,94.9148,94.8013,93.6447,36.8833,26.0857,21.8714,18.6488,15.8161,10.3258,3.4026,0.0889
19.6515,94.9118,94.8023,93.6435,37.0269,26.102,21.878,18.6561,15.8241,10.3333,3.405,0.089
19.6774,94.9087,94.8033,93.6417,37.1815,26.1184,21.8844,18.6633,15.8319,10.3406,3.4079,0.0891
19.7551,94.8994,94.8063,93.6318,37.7062,26.1675,21.9032,18.6835,15.8547,10.3606,3.4182,0.0894
19.8586,94.8875,94.8105,93.5905,38.5093,26.2326,21.9298,18.7072,15.8844,10.3823,3.4339,0.0897
19.9104,94.8818,94.8126,93.4748,38.9241,26.2649,21.9449,18.7172,15.8991,10.3914,3.4421,0.0899
19.9363,94.879,94.8137,93.4601,39.1264,26.2808,21.9531,18.7218,15.9064,10.3955,3.4463,0.09
19.9881,94.8738,94.8158,93.454,39.5193,26.3119,21.971,18.7304,15.921,10.4033,3.4546,0.0902
20.1952,94.8568,94.8249,93.4788,41.0576,26.4775,22.0565,18.7585,15.9801,10.4298,3.4863,0.0909
20.2988,94.8511,94.8297,93.4985,41.8509,26.5585,22.104,18.7719,16.0107,10.4431,3.499,0.0913
20.3247,94.85,94.8309,93.5037,42.0524,26.5786,22.116,18.7755,16.0187,10.4467,3.5013,0.0914
20.3765,94.8482,94.8334,93.5145,42.4593,26.6187,22.1401,18.7832,16.0352,10.4545,3.5042,0.0916
20.48,94.8462,94.8386,93.5371,43.2928,26.6985,22.1875,18.8011,16.07,10.4724,3.5014,0.0919
20.5059,94.8461,94.8399,93.5429,43.5065,26.7183,22.1991,18.8062,16.0782,10.4772,3.4996,0.092
20.5836,94.8463,94.8441,93.5605,44.167,26.7767,22.2326,18.8232,16.0977,10.4921,3.4969,0.0923
20.6095,94.8467,94.8455,93.5665,44.3969,26.7998,22.2433,18.8293,16.1028,10.4971,3.4972,0.0924
20.6613,94.8476,94.8483,93.5786,44.8822,26.845,22.264,18.8423,16.112,10.5069,3.4997,0.0926
20.8166,94.8528,94.8575,93.6154,46.623,26.9758,22.3239,18.8859,16.1355,10.5328,3.5153,0.0931
20.972,94.8607,94.8674,93.6527,48.2551,27.0984,22.3871,18.9349,16.1572,10.5484,3.5365,0.0936
21.0238,94.8638,94.871,93.6651,48.7564,27.1367,22.4105,18.9522,16.1643,10.5504,3.5443,0.0938
21.1273,94.8706,94.8784,93.6897,49.7276,27.2059,22.4639,18.9878,16.1787,10.552,3.561,0.0942
21.205,94.876,94.8843,93.7076,50.4708,27.2416,22.512,19.0155,16.1899,10.5536,3.5743,0.0944
21.2568,94.8799,94.8884,93.7191,50.9826,27.4261,22.5492,19.0349,16.1977,10.5559,3.5837,0.0946
21.3086,94.8838,94.8927,93.7299,51.5051,27.5881,22.5914,19.0558,16.206,10.56,3.5937,0.0948
21.3344,94.8858,94.8949,93.7348,51.7684,27.6656,22.6145,19.0669,16.2105,10.5629,3.5989,0.0949
21.4962,94.8989,94.9096,93.6893,53.4072,28.12,22.7903,19.1505,16.2656,10.5995,3.6408,0.0954
21.5934,94.9071,94.9194,93.662,54.3567,28.3693,22.9214,19.2172,16.3449,10.6423,3.6717,0.0957
21.6193,94.9094,94.9221,93.6582,54.6,28.4311,22.9591,19.2376,16.3684,10.6571,3.6795,0.0958
21.6451,94.9116,94.9249,93.655,54.8373,28.4893,22.9979,19.2593,16.3921,10.6734,3.6871,0.0959
21.671,94.9138,94.9277,93.6524,55.0683,28.5408,23.0377,19.2823,16.4158,10.691,3.6945,0.096
21.7487,94.9206,94.9364,93.647,55.7236,29.1061,23.1622,19.3599,16.4867,10.7514,3.7161,0.0962
21.8782,94.932,94.9519,93.6434,56.7335,29.9401,23.3837,19.5192,16.6041,10.8719,3.7518,0.0967
21.9558,94.939,94.9616,93.6432,57.3693,30.4228,23.5245,19.6293,16.6742,10.9522,3.7737,0.0969
21.9817,94.9413,94.9649,93.6435,57.5864,30.5817,23.5729,19.6678,16.6975,10.9798,3.7811,0.097
22.1371,94.9551,94.9854,93.6468,58.867,31.5459,23.8832,19.9111,16.8362,11.1464,3.8282,0.0975
22.1889,94.9598,94.9924,93.6484,59.2824,31.8626,23.9981,19.9941,16.882,11.1999,3.8454,0.0977
22.2665,94.9667,95.003,93.6513,59.895,32.3289,24.1948,20.1168,16.9498,11.2759,3.8737,0.0979
22.2924,94.969,95.0066,93.6523,60.0962,32.4794,24.2761,20.1567,16.972,11.3003,3.8843,0.098
22.3183,94.9713,95.0101,93.6534,60.2958,32.6225,24.3899,20.1957,16.9942,11.3243,3.8956,0.0981
22.3442,94.9736,95.0137,93.6545,60.4936,32.8678,24.8326,20.2337,17.0162,11.3481,3.9076,0.0982
22.629,94.9986,95.0524,93.6685,62.5094,35.3125,25.3819,20.6062,17.2915,11.6153,4.0508,0.0991
22.6549,95.0008,95.0558,93.6699,62.6702,35.6573,25.437,20.6385,17.3215,11.6421,4.06,0.0991
22.7585,95.0097,95.0693,93.6756,63.25,36.9171,25.6878,20.7691,17.4451,11.7574,4.0918,0.0995
22.7844,95.0119,95.0727,93.6771,63.3791,37.2268,25.7608,20.8024,17.4767,11.7885,4.0991,0.0995
22.8103,95.0141,95.076,93.6786,63.5024,37.5386,25.8393,20.836,17.5084,11.8206,4.1061,0.0996
22.8879,95.0207,95.0857,93.6831,63.8448,38.3737,26.1077,20.9387,17.6046,11.9208,4.1267,0.0999
23.0174,95.0315,95.1012,93.6909,64.4013,39.7647,26.6433,21.1161,17.7671,12.0946,4.1602,0.1003
23.0433,95.0336,95.1042,93.6924,64.5257,40.0897,26.7581,21.1525,17.7999,12.1294,4.167,0.1003
23.1986,95.0462,95.1216,93.702,65.3991,41.9907,27.4247,21.3758,17.9979,12.3299,4.2109,0.1008
23.2245,95.0483,95.1244,93.7036,65.5567,42.3045,27.5237,21.4139,18.0312,12.361,4.2191,0.1009
23.2504,95.0504,95.1271,93.7053,65.715,42.619,27.6177,21.4522,18.0645,12.3912,4.2277,0.101
23.3022,95.0545,95.1325,93.7085,66.03,43.2506,27.7931,21.5296,18.1313,12.4483,4.2467,0.1011
23.354,95.0586,95.1377,93.7118,66.3327,43.8885,27.9569,21.6081,18.1979,12.5004,4.2695,0.1013
23.3799,95.0606,95.1403,93.7135,66.4738,44.2168,28.0359,21.6477,18.231,12.5244,4.2828,0.1013
23.5047,95.0702,95.1522,93.7215,66.9623,45.5393,28.4134,21.8429,18.3825,12.6226,4.3614,0.1017
23.6129,95.0784,95.1619,93.7284,67.2019,46.7113,28.8228,22.0185,18.5016,12.6902,4.416,0.102
23.6388,95.0804,95.1641,93.7301,67.2551,46.9994,28.9893,22.0615,18.5289,12.7047,4.425,0.1021
23.6647,95.0823,95.1663,93.7318,67.309,47.2272,29.3009,22.105,18.556,12.7188,4.4329,0.1022
23.7164,95.0861,95.1706,93.7351,67.4196,47.697,30.214,22.1935,18.6097,12.7461,4.4459,0.1023
23.7423,95.088,95.1727,93.7368,67.4759,47.9344,30.4711,22.2386,18.6364,12.7595,4.4514,0.1024
23.8718,95.0974,95.1828,93.7452,67.7628,49.1328,31.4597,22.4734,18.769,12.8273,4.4738,0.1027
23.9495,95.1029,95.1885,93.7502,67.9371,49.8383,31.9915,22.6209,18.8487,12.8725,4.4846,0.1029
24.0013,95.1066,95.1922,93.7536,68.0536,50.3109,32.3476,22.7213,18.9021,12.9061,4.4911,0.1031
24.1048,95.1137,95.1991,93.7603,68.286,51.2662,33.1197,22.9248,19.0103,12.9826,4.5031,0.1034
24.2084,95.1207,95.2057,93.767,68.5157,52.1307,33.9643,23.1252,19.1215,13.0723,4.5145,0.1036
24.2602,95.1242,95.2088,93.7703,68.6283,52.5717,34.3883,23.2207,19.1793,13.1224,4.5204,0.1038
24.3119,95.1276,95.2118,93.7737,68.7381,53.0203,34.8082,23.3105,19.2396,13.1762,4.5268,0.1039
24.3378,95.1293,95.2133,93.7753,68.7915,53.2502,35.017,23.3526,19.2711,13.2044,4.5304,0.104
24.3637,95.131,95.2148,93.777,68.8438,53.4924,35.2254,23.3926,19.3037,13.2337,4.5344,0.104
24.4859,95.1388,95.2213,93.7848,69.0703,54.2189,36.2042,23.564,19.4765,13.385,4.5634,0.1044
24.5191,95.1409,95.223,93.7869,69.1254,54.4244,36.4688,23.6096,19.5284,13.4301,4.5749,0.1044
24.6485,95.1489,95.2292,93.7952,69.3167,55.2567,37.5006,23.8065,19.7365,13.6208,4.6202,0.1048
24.6744,95.1505,95.2304,93.7968,69.3512,55.434,37.7069,23.8511,19.7778,13.6611,4.6286,0.1048
24.7003,95.1521,95.2316,93.7984,69.3847,55.6261,37.9132,23.8977,19.8189,13.702,4.6368,0.1049
24.8816,95.1628,95.2394,93.8097,69.6006,56.2459,39.3744,24.2811,20.1035,13.9927,4.6913,0.1053
24.9592,95.1673,95.2425,93.8146,69.6861,56.5276,40.0466,24.4731,20.2244,14.114,4.7138,0.1055
25.0628,95.1731,95.2464,93.8209,69.7956,56.9089,41.0284,24.7491,20.385,14.2657,4.7431,0.1057
25.1664,95.1788,95.2501,93.8272,69.9006,57.2962,41.9568,25.0449,20.5451,14.4026,4.7719,0.106
25.1923,95.1802,95.251,93.8288,69.9263,57.3878,42.18,25.1219,20.5851,14.4353,4.779,0.106
25.244,95.183,95.2528,93.8319,69.9767,57.5722,42.6194,25.2793,20.665,14.5002,4.7931,0.1061
25.2699,95.1844,95.2536,93.8334,70.0015,57.6646,42.8363,25.3599,20.7049,14.5327,4.8,0.1062
25.2958,95.1858,95.2545,93.835,70.026,57.7571,43.0516,25.4418,20.745,14.5655,4.8069,0.1063
25.5806,95.2003,95.2633,93.8517,70.2797,58.7786,45.3188,26.4526,21.2762,15.0086,4.8792,0.1069
25.6324,95.2028,95.2647,93.8546,70.326,58.9649,45.7061,26.6703,21.4076,15.1225,4.8932,0.107
25.6583,95.2041,95.2655,93.8561,70.3495,59.0581,45.8952,26.7865,21.4771,15.1845,4.9004,0.107
25.6842,95.2053,95.2662,93.8576,70.3732,59.1514,46.0806,26.9092,21.5485,15.2495,4.9076,0.1071
25.7101,95.2066,95.2669,93.859,70.3972,59.2448,46.2615,27.0397,21.6216,15.3169,4.9149,0.1071
25.9431,95.2174,95.2729,93.872,70.6175,60.0325,47.7044,28.92,22.323,15.9591,4.982,0.1075
26.0208,95.2209,95.2748,93.8762,70.6912,60.2521,48.3023,29.5257,22.566,16.1544,5.0046,0.1077
26.0467,95.222,95.2755,93.8776,70.7157,60.3223,48.5424,29.7023,22.6475,16.2151,5.0121,0.1077
26.1243,95.2254,95.2773,93.8818,70.7888,60.5281,49.3278,30.224,22.8924,16.385,5.0347,0.1079
26.202,95.2287,95.279,93.8859,70.8608,60.7295,50.123,30.7697,23.1383,16.543,5.0573,0.108
26.2279,95.2297,95.2796,93.8872,70.8844,60.7961,50.3765,30.9608,23.2212,16.5942,5.0648,0.108
26.2797,95.2319,95.2808,93.8899,70.9308,60.9286,50.8521,31.3573,23.3897,16.6955,5.0797,0.1081
26.3056,95.233,95.2813,93.8912,70.9534,60.9945,51.0701,31.5615,23.4756,16.746,5.0871,0.1082
26.3574,95.2351,95.2824,93.8939,70.9968,61.1258,51.456,31.98,23.6524,16.8479,5.1018,0.1082
26.4842,95.2401,95.285,93.9002,71.0904,61.4442,52.1047,33.0525,24.1278,17.1159,5.1358,0.1084
26.4954,95.2405,95.2853,93.9008,71.0978,61.472,52.1461,33.1497,24.1737,17.1421,5.1385,0.1084
26.5645,95.2432,95.2866,93.9042,71.1425,61.6434,52.3675,33.7645,24.4814,17.329,5.1554,0.1085
26.6163,95.2451,95.2877,93.9067,71.1758,61.7708,52.5074,34.2407,24.7481,17.5394,5.1679,0.1086
26.6422,95.2461,95.2881,93.9079,71.1927,61.8342,52.5736,34.4856,24.8984,17.7176,5.1742,0.1086
26.6681,95.247,95.2886,93.9092,71.2098,61.8974,52.6395,34.7367,25.0623,18.0476,5.1805,0.1087
26.694,95.248,95.2891,93.9104,71.227,61.9604,52.7062,34.9956,25.2409,18.3493,5.1869,0.1087
26.7457,95.2499,95.2901,93.9128,71.2621,62.0857,52.8479,35.5419,25.6462,18.6858,5.1997,0.1088
26.8493,95.2536,95.292,93.9176,71.334,62.3333,53.1793,36.7117,26.6289,19.2447,5.2259,0.1089
26.8752,95.2545,95.2924,93.9188,71.3524,62.3945,53.2708,36.9884,26.8815,19.3865,5.2327,0.1089
27.0305,95.2598,95.2951,93.9258,71.4658,62.755,53.8701,38.5731,28.167,20.2975,5.2747,0.1091
27.0564,95.2607,95.2956,93.9269,71.4853,62.8138,53.976,38.8451,28.3749,20.4599,5.2821,0.1091
27.1341,95.2632,95.2969,93.9303,71.5452,62.9873,54.2995,39.7049,29.015,20.9624,5.305,0.1092
27.1859,95.2649,95.2977,93.9326,71.5866,63.1004,54.518,40.2719,29.4547,21.3077,5.3212,0.1092
27.2636,95.2674,95.299,93.9359,71.6518,63.2648,54.8464,41.0712,30.1276,21.8391,5.3475,0.1093
27.2895,95.2682,95.2994,93.937,71.6747,63.3179,54.9556,41.3263,30.3547,22.0196,5.3571,0.1093
27.3153,95.269,95.2998,93.9381,71.6984,63.3701,55.0647,41.5774,30.5831,22.2018,5.3672,0.1093
27.3412,95.2698,95.3002,93.9391,71.723,63.4211,55.1734,41.8253,30.8127,22.3857,5.3782,0.1093
27.5484,95.2761,95.3034,93.9476,71.9388,63.7712,56.0025,43.7172,32.6977,23.9302,5.5026,0.1094
27.6001,95.2776,95.3041,93.9496,71.9857,63.8372,56.1479,44.164,33.1891,24.3471,5.5304,0.1095
27.626,95.2783,95.3045,93.9506,72.0071,63.8661,56.1869,44.3821,33.4411,24.5645,5.5424,0.1095
27.6519,95.2791,95.3049,93.9517,72.0273,63.8921,56.2237,44.5959,33.6989,24.7911,5.5534,0.1095
27.6778,95.2798,95.3053,93.9527,72.0463,63.9152,56.2676,44.8047,33.9642,25.0302,5.5635,0.1095
27.7296,95.2813,95.306,93.9547,72.0819,63.9533,56.3738,45.2058,34.5252,25.5745,5.5822,0.1095
27.8073,95.2835,95.3071,93.9576,72.1311,63.998,56.5575,45.7657,35.4152,26.7906,5.6076,0.1095
27.9108,95.2863,95.3085,93.9615,72.1927,64.0714,56.8153,46.4618,36.497,28.1268,5.6385,0.1095
27.9367,95.287,95.3089,93.9625,72.2076,64.097,56.8801,46.6367,36.7591,28.4258,5.6459,0.1095
27.9885,95.2884,95.3096,93.9644,72.2372,64.1563,57.0094,46.9962,37.2834,29.0166,5.6602,0.1095
28.0144,95.2891,95.31,93.9653,72.2519,64.1889,57.0736,47.1788,37.5486,29.3134,5.6673,0.1095
28.1698,95.2931,95.312,93.9709,72.3403,64.4096,57.4464,48.2587,39.2165,31.2427,5.7079,0.1094
28.2215,95.2944,95.3127,93.9727,72.3706,64.4881,57.5629,48.6023,39.7747,32.044,5.7209,0.1094
28.2474,95.2951,95.3131,93.9736,72.3861,64.5276,57.6189,48.7703,40.0518,32.4385,5.7273,0.1094
28.2733,95.2957,95.3134,93.9745,72.402,64.5672,57.6731,48.9358,40.3275,32.8049,5.7337,0.1093
28.2992,95.2964,95.3137,93.9754,72.4185,64.6067,57.7252,49.0989,40.6015,33.1463,5.7401,0.1093
28.3251,95.297,95.3141,93.9763,72.4357,64.646,57.7751,49.2596,40.8737,33.4687,5.7464,0.1093
28.5063,95.3014,95.3164,93.9824,72.5776,64.9071,58.0689,50.32,42.7097,35.4943,5.791,0.1091
28.6099,95.3038,95.3177,93.9858,72.6506,65.0361,58.2141,50.8698,43.6704,36.5683,5.8189,0.109
28.6617,95.305,95.3184,93.9875,72.6824,65.0941,58.2901,51.1262,44.1057,37.0861,5.8335,0.1089
28.6876,95.3056,95.3187,93.9883,72.6975,65.1217,58.3302,51.249,44.3096,37.3389,5.8409,0.1089
28.7135,95.3061,95.3191,93.9891,72.7121,65.1482,58.3721,51.3678,44.5044,37.5868,5.8483,0.1088
28.7394,95.3067,95.3194,93.99,72.7264,65.1739,58.4159,51.4825,44.6904,37.8296,5.8557,0.1088
28.8947,95.3102,95.3213,93.9948,72.8072,65.3111,58.7103,52.0852,45.7112,39.2195,5.9004,0.1085
29.1018,95.3146,95.324,94.0011,72.9068,65.4647,59.1223,52.7254,47.2663,41.1918,5.9604,0.108
29.1277,95.3151,95.3243,94.0019,72.9188,65.4828,59.1715,52.799,47.4617,41.4457,5.9679,0.1079
29.1795,95.3162,95.3249,94.0034,72.9426,65.5189,59.2665,52.9453,47.8447,41.9529,5.9829,0.1077
29.2831,95.3182,95.3263,94.0064,72.9891,65.5911,59.4371,53.2373,48.5779,42.9188,6.0128,0.1074
29.309,95.3188,95.3266,94.0071,73.0005,65.6092,59.4744,53.3102,48.7546,43.1447,6.0202,0.1073
29.3608,95.3198,95.3272,94.0086,73.0231,65.6459,59.5421,53.4557,49.0996,43.5791,6.035,0.1071
29.6197,95.3247,95.3306,94.0158,73.1319,65.8416,59.7988,54.1735,50.6277,45.5454,6.1064,0.1059
29.6456,95.3252,95.331,94.0165,73.1424,65.8629,59.8233,54.244,50.7569,45.7281,6.1136,0.1058
29.6973,95.3262,95.3316,94.0179,73.1631,65.9069,59.8751,54.3841,51.0001,46.0837,6.1281,0.1055
29.7232,95.3267,95.332,94.0186,73.1733,65.9296,59.9027,54.4537,51.1147,46.2553,6.1354,0.1053
29.7491,95.3271,95.3323,94.0193,73.1835,65.9528,59.9317,54.5229,51.225,46.4217,6.1427,0.1052
29.8009,95.3281,95.333,94.0206,73.2036,66.0006,59.9945,54.6602,51.4346,46.7376,6.1573,0.1048
30.0339,95.3321,95.3363,94.0267,73.2912,66.2283,60.3381,55.2498,52.2939,48.0318,6.2239,0.1031
30.0598,95.3326,95.3366,94.0273,73.3007,66.2537,60.3792,55.3115,52.3905,48.1741,6.2314,0.1028
30.2928,95.3365,95.3401,94.0331,73.3856,66.4663,60.735,55.8174,53.3139,49.4486,6.3003,0.1004
30.3187,95.3369,95.3405,94.0337,73.3951,66.4872,60.7693,55.867,53.4203,49.5881,6.3083,0.1001
30.3446,95.3373,95.3409,94.0344,73.4045,66.5072,60.8012,55.9151,53.5271,49.727,6.3164,0.0998
30.3705,95.3377,95.3413,94.035,73.414,66.5266,60.8303,55.9616,53.6342,49.8652,6.3245,0.0995
30.4741,95.3394,95.3429,94.0375,73.4526,66.5982,60.9073,56.1332,54.0606,50.4099,6.3561,0.098
30.4966,95.3397,95.3432,94.038,73.4611,66.6126,60.9157,56.1679,54.1492,50.5262,6.3622,0.0977
30.507,95.3399,95.3434,94.0382,73.4651,66.6191,60.9188,56.1836,54.1875,50.5794,6.3648,0.0975
30.6294,95.3418,95.3454,94.0411,73.5137,66.6918,60.9451,56.3591,54.4319,51.1915,6.3895,0.0955
30.6553,95.3422,95.3459,94.0417,73.5247,66.7063,60.9564,56.3945,54.4878,51.3158,6.3938,0.0951
30.6812,95.3425,95.3463,94.0423,73.5359,66.7206,60.9719,56.4296,54.546,51.4378,6.3979,0.0946
30.7071,95.3429,95.3467,94.0429,73.5476,66.7348,60.9919,56.4645,54.6055,51.5571,6.4019,0.0941
30.733,95.3433,95.3472,94.0435,73.5597,66.7487,61.0164,56.4993,54.666,51.6734,6.4058,0.0936
30.9142,95.346,95.3504,94.0476,73.6541,66.8453,61.2612,56.7508,55.1021,52.3815,6.4319,0.0898
30.9401,95.3463,95.3508,94.0481,73.6676,66.8593,61.2999,56.7893,55.1652,52.4657,6.4355,0.0892
31.1731,95.3496,95.3552,94.0532,73.7703,66.9919,61.6239,57.1544,55.7312,53.0742,6.4683,0.0833
31.199,95.35,95.3557,94.0538,73.7798,67.0073,61.6544,57.1949,55.7931,53.1346,6.4721,0.0827
31.3026,95.3514,95.3577,94.056,73.8153,67.0698,61.7594,57.3519,56.0351,53.3803,6.4877,0.0804
31.4838,95.3537,95.3613,94.0598,73.8711,67.1824,61.8752,57.5866,56.4239,53.827,6.5247,0.0804
31.5087,95.354,95.3618,94.0603,73.8783,67.198,61.886,57.6128,56.4725,53.8905,6.5318,0.0809
31.5615,95.3547,95.3629,94.0614,73.8936,67.2314,61.9063,57.6633,56.5719,54.0284,6.5482,0.0823
31.6392,95.3557,95.3645,94.063,73.9155,67.2807,61.9314,57.7275,56.7088,54.2483,6.573,0.0848
31.6651,95.356,95.365,94.0635,73.9227,67.2972,61.939,57.7469,56.7523,54.3505,6.5812,0.0858
31.7169,95.3567,95.3661,94.0646,73.937,67.33,61.9538,57.7838,56.8365,54.6194,6.5973,0.0878
31.924,95.3592,95.3705,94.0687,73.9928,67.4581,62.0388,57.933,57.154,55.1502,6.6597,0.0967
32.0535,95.3607,95.3733,94.0712,74.0269,67.5336,62.1611,58.0514,57.3498,55.4566,6.6973,0.1024
32.1829,95.3622,95.3761,94.0737,74.0607,67.6036,62.3342,58.2001,57.5525,55.7502,6.7337,0.1079
32.2606,95.363,95.3778,94.0752,74.0808,67.6424,62.4312,58.3005,57.6808,55.9188,6.7546,0.1111
32.3124,95.3636,95.379,94.0762,74.0943,67.6671,62.4825,58.3711,57.7702,56.027,6.7679,0.1131
32.3383,95.3639,95.3796,94.0767,74.101,67.6791,62.5033,58.4074,57.8162,56.0798,6.7742,0.114
32.4848,95.3655,95.3828,94.0794,74.139,67.7444,62.5743,58.6222,58.095,56.3648,6.8063,0.1189
32.5972,95.3666,95.3853,94.0815,74.1684,67.7927,62.6024,58.7943,58.3439,56.5794,6.841,0.1219
32.649,95.3672,95.3864,94.0825,74.182,67.8149,62.6131,58.864,58.5989,56.6826,6.8613,0.123
32.6748,95.3674,95.387,94.083,74.1889,67.8261,62.6184,58.8849,58.6275,56.736,6.872,0.1235
32.7266,95.368,95.3881,94.0839,74.2028,67.8485,62.6293,58.9136,58.6721,56.8471,6.894,0.1245
32.8043,95.3688,95.3898,94.0853,74.2239,67.883,62.648,58.9522,58.734,57.024,6.9281,0.1255
32.9338,95.3701,95.3926,94.0877,74.2602,67.9429,62.6899,59.0196,58.8343,57.3336,6.9864,0.1266
33.1927,95.3725,95.3981,94.0923,74.3373,68.0643,62.8213,59.1664,59.0338,57.9421,7.1051,0.1261
33.2445,95.373,95.3992,94.0932,74.353,68.0876,62.853,59.1971,59.0738,58.0536,7.1288,0.1256
33.2703,95.3733,95.3997,94.0937,74.3608,68.0989,62.8694,59.2126,59.0938,58.1073,7.1407,0.1253
33.3221,95.3737,95.4008,94.0946,74.3756,68.121,62.9029,59.2437,59.1338,58.2103,7.1644,0.1245
33.4257,95.3747,95.4029,94.0964,74.4021,68.1624,62.9729,59.3067,59.214,58.4024,7.2162,0.1228
33.5021,95.3754,95.4044,94.0977,74.4202,68.1901,63.0259,59.3535,59.2732,58.5356,7.2678,0.1211
33.5124,95.3754,95.4046,94.0979,74.4227,68.1937,63.0331,59.3599,59.2813,58.5534,7.2761,0.1209
33.5552,95.3758,95.4054,94.0986,74.433,68.2081,63.0621,59.3862,59.3144,58.6259,7.3137,0.1199
33.6587,95.3767,95.4074,94.1004,74.461,68.2407,63.1131,59.4505,59.3947,58.8013,7.4196,0.1171
33.6846,95.3769,95.4079,94.1009,74.4691,68.2483,63.1242,59.4666,59.4148,58.8457,7.4481,0.1164
33.7364,95.3774,95.4088,94.1018,74.4866,68.2632,63.1552,59.4989,59.455,58.936,7.5062,0.115
33.7623,95.3776,95.4093,94.1022,74.4957,68.2704,63.1724,59.515,59.4751,58.982,7.5357,0.1142
34.073,95.3802,95.4146,94.1075,74.592,68.3491,63.3785,59.7104,59.7162,59.5607,7.905,0.1063
34.2801,95.3818,95.4176,94.111,74.6437,68.3999,63.4927,59.8415,59.8769,59.9223,8.1627,0.1037
34.3319,95.3822,95.4184,94.1119,74.6558,68.4135,63.5164,59.8744,59.917,60.0032,8.2295,0.1036
34.3578,95.3824,95.4187,94.1123,74.6617,68.4205,63.5273,59.8909,59.9371,60.0417,8.2641,0.1036
