x,Over 80 D1,75-80,70-75,40-45,35-40,30-35,25-30,20-25,18-20,16-18,12-16
4.4857,36.6129,5.656,1.7265,2.4485,1.9153,1.9689,1.7551,1.1393,0.5272,0.1169,0.028
4.5051,36.9197,5.7791,1.7556,2.4766,1.9419,1.9914,1.7714,1.1503,0.5349,0.1179,0.0281
4.5088,36.9784,5.8029,1.7611,2.4819,1.947,1.9957,1.7746,1.1524,0.5363,0.1181,0.0281
4.5903,38.304,6.364,1.8849,2.6002,2.0648,2.0922,1.844,1.201,0.5696,0.1226,0.0285
4.6087,38.6165,6.4993,1.913,2.6269,2.0924,2.1142,1.8598,1.2125,0.5773,0.1237,0.0285
4.6604,39.5899,6.9003,1.9934,2.7025,2.1725,2.1773,1.9046,1.2462,0.5994,0.1268,0.0288
4.7122,40.9351,7.3277,2.0753,2.7785,2.2555,2.2415,1.9499,1.2815,0.622,0.1299,0.029
4.8158,43.161,8.267,2.2457,2.9315,2.4286,2.373,2.042,1.3574,0.6681,0.1365,0.0294
4.8935,44.8852,9.0337,2.3813,3.0472,2.5634,2.474,2.1126,1.4188,0.7031,0.1416,0.0297
4.9194,45.4797,9.2957,2.4283,3.0859,2.609,2.5082,2.1365,1.4401,0.7147,0.1433,0.0298
5.0229,47.7983,10.3311,2.628,3.2417,2.7943,2.6469,2.2336,1.5293,0.761,0.1501,0.0303
5.1265,50.0242,11.2599,2.851,3.3992,2.9818,2.7887,2.3337,1.6245,0.8055,0.1569,0.0307
5.23,52.3429,12.0468,3.1055,3.5584,3.1693,2.9334,2.4376,1.7248,0.8465,0.1636,0.0312
5.3077,54.0841,12.7705,3.3241,3.6792,3.3083,3.0437,2.5183,1.8031,0.8736,0.1683,0.0315
5.3336,54.6615,13.0666,3.4035,3.7198,3.3542,3.0807,2.5459,1.8297,0.8817,0.1699,0.0316
5.3595,55.2389,13.3933,3.4867,3.7605,3.3998,3.1179,2.5738,1.8565,0.8892,0.1714,0.0317
5.4825,57.9877,15.2792,3.9473,3.9562,3.6112,3.2964,2.7121,1.9868,0.9183,0.1781,0.0322
5.4874,58.0986,15.3638,3.9686,3.9642,3.6195,3.3037,2.7179,1.9921,0.9193,0.1784,0.0322
5.4954,58.2781,15.5018,4.0036,3.9771,3.6329,3.3154,2.7273,2.0007,0.9208,0.1788,0.0323
5.5119,58.6479,15.7908,4.0781,4.0037,3.6603,3.3395,2.7469,2.0185,0.9237,0.1796,0.0323
5.6184,61.0609,17.8452,4.6438,4.1784,3.8329,3.4966,2.8799,2.1352,0.9389,0.1846,0.0328
5.6443,61.6608,18.4362,4.8057,4.2216,3.8737,3.535,2.9145,2.1639,0.9418,0.1858,0.0329
5.6961,62.8735,20.1638,5.1619,4.3091,3.9542,3.6117,2.9867,2.2215,0.9469,0.1881,0.0331
